Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
Couchbase,analytics," 11,60,00,000 ",1,CA,Mountain View,6,2009/1/2,1,2009-Q1,1,0,1,1,1,1,0,5
Couchsurfing,social_media," 2,26,00,000 ",1,CA,San Francisco,2,2004/6/13,6,2004-Q2,1,0,0,1,0,0,7,8
CounterStorm,security," 95,00,000 ",1,NY,New York,1,2001/1/1,1,2001-Q1,1,0,0,1,0,0,4,4
Couple,hardware&software," 42,00,000 ",1,CA,San Francisco,1,2012/1/1,1,2012-Q1,0,0,0,0,0,0,0,0
Couplewise,social_media,"40,000",1,NY,New York,1,2010/1/1,1,2010-Q1,0,0,0,0,0,0,1,1
Coupons.com,advertising," 27,67,60,000 ",1,CA,Mountain View,6,1998/1/1,1,1998-Q1,1,0,0,0,1,1,7,14
coUrbanize,finance," 6,68,806 ",1,MA,Cambridge,2,2013/2/1,2,2013-Q1,1,0,0,0,0,0,0,0
CoverMe,hardware&software," 5,00,000 ",1,CA,San Jose,1,2012/7/28,7,2012-Q3,0,1,0,0,0,0,1,1
CoVi Technologies,security," 3,00,00,000 ",1,TX,Austin,2,2002/1/1,1,2002-Q1,1,0,0,1,0,0,3,4
CoWare,hardware&software," 70,00,000 ",1,CA,San Jose,1,1997/1/1,1,1997-Q1,1,0,0,0,0,0,10,10
cPacket Networks,hardware&software," 1,16,58,743 ",1,CA,Mountain View,3,2003/1/1,1,2003-Q1,1,0,1,0,0,0,3,8
CPXi,advertising," 3,00,00,000 ",1,NY,New York,1,2000/1/1,1,2000-Q1,1,0,0,0,0,0,14,14
CQuotient,analytics," 30,00,000 ",1,MA,Cambridge,1,2010/1/1,1,2010-Q1,1,0,0,0,0,0,1,1
Craigslist,web," 1,35,00,000 ",1,CA,San Francisco,1,1995/3/1,3,1995-Q1,1,0,0,0,0,0,9,9
